Scramble,Scramble Length,Heuristic Type,Heuristic,Wall Time (ns)
B,1,Single L0,0.6666667,27600
F',1,Single L0,0.6666667,20700
L,1,Single L0,0.6666667,20600
B',1,Single L0,0.6666667,30500
F,1,Single L0,0.6666667,30500
L',1,Single L0,0.6666667,30600
D,1,Single L0,0.6666667,30500
L,1,Single L0,0.6666667,30600
R',1,Single L0,0.6666667,30700
U',1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20600
R',1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,20600
L',1,Single L0,0.6666667,20600
L',1,Single L0,0.6666667,28600
U,1,Single L0,0.6666667,24300
L,1,Single L0,0.6666667,23500
D',1,Single L0,0.6666667,23400
U,1,Single L0,0.6666667,23400
R',1,Single L0,0.6666667,23200
R',1,Single L0,0.6666667,23200
F',1,Single L0,0.6666667,20700
L,1,Single L0,0.6666667,20600
D,1,Single L0,0.6666667,28900
U',1,Single L0,0.6666667,31800
B',1,Single L0,0.6666667,20600
U,1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20300
U,1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20300
B',1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20300
R',1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20500
L',1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20300
F',1,Single L0,0.6666667,20300
B,1,Single L0,0.6666667,20500
L,1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20600
U',1,Single L0,0.6666667,30400
L',1,Single L0,0.6666667,30500
F',1,Single L0,0.6666667,30700
F,1,Single L0,0.6666667,30600
F,1,Single L0,0.6666667,30400
D,1,Single L0,0.6666667,30600
B,1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,22100
B,1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20300
F,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20300
B,1,Single L0,0.6666667,20300
F',1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20300
B',1,Single L0,0.6666667,20300
B,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20300
L',1,Single L0,0.6666667,20300
R',1,Single L0,0.6666667,20300
B',1,Single L0,0.6666667,22200
U,1,Single L0,0.6666667,20300
D,1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20500
F,1,Single L0,0.6666667,21000
D',1,Single L0,0.6666667,23600
L',1,Single L0,0.6666667,20700
D',1,Single L0,0.6666667,20300
F,1,Single L0,0.6666667,20700
D',1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,25100
U',1,Single L0,0.6666667,34200
F',1,Single L0,0.6666667,34100
B',1,Single L0,0.6666667,33900
L',1,Single L0,0.6666667,33800
B',1,Single L0,0.6666667,34200
F,1,Single L0,0.6666667,33500
B',1,Single L0,0.6666667,30800
B',1,Single L0,0.6666667,30600
B',1,Single L0,0.6666667,30500
L,1,Single L0,0.6666667,25900
B,1,Single L0,0.6666667,22200
R,1,Single L0,0.6666667,20300
D',1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,22300
D',1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,20400
U',1,Single L0,0.6666667,20200
L',1,Single L0,0.6666667,20300
U',1,Single L0,0.6666667,20200
F,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20300
B',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20300
D,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,22400
U',1,Single L0,0.6666667,20300
F,1,Single L0,0.6666667,20800
U',1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20400
U',1,Single L0,0.6666667,20300
F',1,Single L0,0.6666667,20500
F,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20900
B,1,Single L0,0.6666667,30900
F,1,Single L0,0.6666667,30700
F,1,Single L0,0.6666667,30700
D,1,Single L0,0.6666667,30600
U',1,Single L0,0.6666667,30500
B',1,Single L0,0.6666667,30700
R,1,Single L0,0.6666667,30600
F,1,Single L0,0.6666667,30700
D',1,Single L0,0.6666667,30600
F,1,Single L0,0.6666667,30600
D,1,Single L0,0.6666667,30600
B',1,Single L0,0.6666667,30600
R',1,Single L0,0.6666667,30600
R',1,Single L0,0.6666667,30700
D',1,Single L0,0.6666667,30600
L',1,Single L0,0.6666667,30700
D,1,Single L0,0.6666667,20800
D,1,Single L0,0.6666667,20500
D,1,Single L0,0.6666667,20700
R,1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20800
B,1,Single L0,0.6666667,20700
B,1,Single L0,0.6666667,24300
R',1,Single L0,0.6666667,23400
U',1,Single L0,0.6666667,23400
L,1,Single L0,0.6666667,23400
R,1,Single L0,0.6666667,23200
B,1,Single L0,0.6666667,24400
B',1,Single L0,0.6666667,22900
B,1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20300
U',1,Single L0,0.6666667,20600
B',1,Single L0,0.6666667,20300
D,1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20500
F,1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,20200
R',1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20300
U,1,Single L0,0.6666667,20300
F,1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,33200
U,1,Single L0,0.6666667,30400
R,1,Single L0,0.6666667,30500
L,1,Single L0,0.6666667,30700
L,1,Single L0,0.6666667,30700
B,1,Single L0,0.6666667,30600
B,1,Single L0,0.6666667,30600
U',1,Single L0,0.6666667,20300
U,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20300
F,1,Single L0,0.6666667,20600
L',1,Single L0,0.6666667,20300
B',1,Single L0,0.6666667,20500
L',1,Single L0,0.6666667,20300
B',1,Single L0,0.6666667,20700
B',1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,24300
D,1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,22200
F,1,Single L0,0.6666667,20700
D,1,Single L0,0.6666667,20300
U',1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20500
R',1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,21200
U',1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20700
B',1,Single L0,0.6666667,20600
F,1,Single L0,0.6666667,20700
R',1,Single L0,0.6666667,23000
B',1,Single L0,0.6666667,24400
R',1,Single L0,0.6666667,23900
U,1,Single L0,0.6666667,23700
F',1,Single L0,0.6666667,23300
B,1,Single L0,0.6666667,23300
R,1,Single L0,0.6666667,23500
F,1,Single L0,0.6666667,23100
U,1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20500
U',1,Single L0,0.6666667,20300
B,1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20300
R',1,Single L0,0.6666667,20400
U',1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20300
B,1,Single L0,0.6666667,22500
L,1,Single L0,0.6666667,20500
D,1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20600
F',1,Single L0,0.6666667,22200
L',1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20500
R,1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20500
B,1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,20500
F,1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20400
U',1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20500
U',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,22400
L,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20400
U',1,Single L0,0.6666667,20300
D',1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20300
D,1,Single L0,0.6666667,20300
F',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20500
R',1,Single L0,0.6666667,20500
L',1,Single L0,0.6666667,20500
L',1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20900
U',1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,21000
R',1,Single L0,0.6666667,20800
U,1,Single L0,0.6666667,20800
F',1,Single L0,0.6666667,21000
F',1,Single L0,0.6666667,23900
L',1,Single L0,0.6666667,23400
D,1,Single L0,0.6666667,23300
B,1,Single L0,0.6666667,23200
U,1,Single L0,0.6666667,23100
R',1,Single L0,0.6666667,23300
D,1,Single L0,0.6666667,22100
R',1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,21000
B',1,Single L0,0.6666667,20500
B,1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,20300
L,1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20500
F',1,Single L0,0.6666667,20500
L,1,Single L0,0.6666667,20500
L,1,Single L0,0.6666667,20500
F,1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20500
F',1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20300
D,1,Single L0,0.6666667,20300
B',1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20700
B,1,Single L0,0.6666667,20500
R,1,Single L0,0.6666667,20300
F,1,Single L0,0.6666667,20500
F',1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20600
U',1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20500
D,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,30900
F',1,Single L0,0.6666667,30700
F,1,Single L0,0.6666667,30800
U',1,Single L0,0.6666667,20700
F,1,Single L0,0.6666667,20500
D,1,Single L0,0.6666667,20500
F',1,Single L0,0.6666667,20500
F,1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20600
R,1,Single L0,0.6666667,20500
U',1,Single L0,0.6666667,20500
L,1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20800
F',1,Single L0,0.6666667,22500
L',1,Single L0,0.6666667,20700
D,1,Single L0,0.6666667,20800
L',1,Single L0,0.6666667,21000
B,1,Single L0,0.6666667,21000
L',1,Single L0,0.6666667,25100
B,1,Single L0,0.6666667,23600
U,1,Single L0,0.6666667,23400
L',1,Single L0,0.6666667,23400
B,1,Single L0,0.6666667,23500
D',1,Single L0,0.6666667,34200
D,1,Single L0,0.6666667,33200
D,1,Single L0,0.6666667,30500
F,1,Single L0,0.6666667,20500
R,1,Single L0,0.6666667,20300
R,1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20300
F,1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20500
B,1,Single L0,0.6666667,20300
F,1,Single L0,0.6666667,20800
F,1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20600
D,1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20300
F',1,Single L0,0.6666667,20300
F,1,Single L0,0.6666667,20300
F',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20500
F',1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,22100
L',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,22900
D,1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20300
U,1,Single L0,0.6666667,20300
B,1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,22200
R,1,Single L0,0.6666667,23900
R',1,Single L0,0.6666667,20500
F,1,Single L0,0.6666667,23300
L',1,Single L0,0.6666667,20300
U,1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20800
D,1,Single L0,0.6666667,20800
F',1,Single L0,0.6666667,20800
R',1,Single L0,0.6666667,21000
B,1,Single L0,0.6666667,21000
U,1,Single L0,0.6666667,21000
D,1,Single L0,0.6666667,24000
D',1,Single L0,0.6666667,23500
U,1,Single L0,0.6666667,23600
L',1,Single L0,0.6666667,23200
B,1,Single L0,0.6666667,23500
D,1,Single L0,0.6666667,30400
D',1,Single L0,0.6666667,22900
D',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20500
R,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,28800
L',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,22200
R',1,Single L0,0.6666667,20500
U',1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20300
D',1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,23000
B',1,Single L0,0.6666667,20500
D,1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20500
D,1,Single L0,0.6666667,20300
B',1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20300
D,1,Single L0,0.6666667,20500
B,1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,23100
F,1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20300
B',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20600
U',1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,79000
B,1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20300
L,1,Single L0,0.6666667,20800
U',1,Single L0,0.6666667,20600
L,1,Single L0,0.6666667,20800
D',1,Single L0,0.6666667,20800
L,1,Single L0,0.6666667,21000
F',1,Single L0,0.6666667,21000
D',1,Single L0,0.6666667,23900
R,1,Single L0,0.6666667,23600
D',1,Single L0,0.6666667,23400
B',1,Single L0,0.6666667,23100
R',1,Single L0,0.6666667,23500
L,1,Single L0,0.6666667,23400
B,1,Single L0,0.6666667,22900
F',1,Single L0,0.6666667,20500
B,1,Single L0,0.6666667,31000
F',1,Single L0,0.6666667,30800
U',1,Single L0,0.6666667,40100
D,1,Single L0,0.6666667,30700
F',1,Single L0,0.6666667,30600
U,1,Single L0,0.6666667,30400
R',1,Single L0,0.6666667,20300
B,1,Single L0,0.6666667,20500
B,1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20300
B',1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20300
U,1,Single L0,0.6666667,20300
R',1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,21700
F,1,Single L0,0.6666667,20700
U',1,Single L0,0.6666667,20700
R',1,Single L0,0.6666667,20700
U',1,Single L0,0.6666667,20700
U',1,Single L0,0.6666667,20700
B,1,Single L0,0.6666667,20600
R',1,Single L0,0.6666667,20700
R',1,Single L0,0.6666667,20800
F,1,Single L0,0.6666667,20600
D',1,Single L0,0.6666667,20300
D',1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20600
F',1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,22100
B',1,Single L0,0.6666667,20500
B,1,Single L0,0.6666667,20500
U',1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20300
D,1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,22900
U,1,Single L0,0.6666667,20800
U,1,Single L0,0.6666667,20800
D',1,Single L0,0.6666667,22600
U,1,Single L0,0.6666667,20800
L,1,Single L0,0.6666667,21100
B,1,Single L0,0.6666667,21100
F',1,Single L0,0.6666667,25100
F,1,Single L0,0.6666667,23900
D',1,Single L0,0.6666667,23600
U',1,Single L0,0.6666667,23400
R,1,Single L0,0.6666667,23400
L',1,Single L0,0.6666667,23300
D',1,Single L0,0.6666667,23100
R',1,Single L0,0.6666667,20600
B,1,Single L0,0.6666667,22300
R',1,Single L0,0.6666667,20500
L,1,Single L0,0.6666667,20500
D,1,Single L0,0.6666667,22300
U,1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20600
D,1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20300
F,1,Single L0,0.6666667,25300
D',1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20500
R',1,Single L0,0.6666667,20500
F,1,Single L0,0.6666667,20500
D,1,Single L0,0.6666667,20400
U',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20500
D,1,Single L0,0.6666667,20500
F,1,Single L0,0.6666667,20600
L,1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20500
R',1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20500
R',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20300
D',1,Single L0,0.6666667,20500
F,1,Single L0,0.6666667,20300
R',1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20500
B,1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20500
U',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20500
R,1,Single L0,0.6666667,20400
U',1,Single L0,0.6666667,20300
F',1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20500
L,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20300
D',1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20300
U',1,Single L0,0.6666667,20300
U,1,Single L0,0.6666667,20400
U',1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20600
B',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,22300
F',1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20500
L',1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20500
D,1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,31100
R',1,Single L0,0.6666667,30800
B',1,Single L0,0.6666667,32500
B,1,Single L0,0.6666667,30500
B',1,Single L0,0.6666667,30600
B,1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,22600
L,1,Single L0,0.6666667,20600
D,1,Single L0,0.6666667,20900
F,1,Single L0,0.6666667,20500
L',1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,29100
B,1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20300
L,1,Single L0,0.6666667,20300
L,1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20300
R,1,Single L0,0.6666667,20300
F,1,Single L0,0.6666667,20600
F',1,Single L0,0.6666667,20400
U',1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20500
R',1,Single L0,0.6666667,20600
U,1,Single L0,0.6666667,26400
L,1,Single L0,0.6666667,22600
F',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,21000
R',1,Single L0,0.6666667,20800
R',1,Single L0,0.6666667,21000
L,1,Single L0,0.6666667,21100
D,1,Single L0,0.6666667,21100
R',1,Single L0,0.6666667,21200
L,1,Single L0,0.6666667,24900
B,1,Single L0,0.6666667,23700
D,1,Single L0,0.6666667,23500
R',1,Single L0,0.6666667,23700
U',1,Single L0,0.6666667,23400
F',1,Single L0,0.6666667,23500
D,1,Single L0,0.6666667,23300
L',1,Single L0,0.6666667,20600
B,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20300
L,1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20500
F,1,Single L0,0.6666667,20600
F',1,Single L0,0.6666667,20500
R,1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20400
U',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20500
R',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20500
L',1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,20500
B,1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20500
B,1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20500
D,1,Single L0,0.6666667,20500
U',1,Single L0,0.6666667,20300
U',1,Single L0,0.6666667,20300
F',1,Single L0,0.6666667,20500
F,1,Single L0,0.6666667,20500
R,1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20600
D',1,Single L0,0.6666667,20500
D,1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20800
R,1,Single L0,0.6666667,20500
B,1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,22200
U,1,Single L0,0.6666667,20300
D',1,Single L0,0.6666667,20400
U',1,Single L0,0.6666667,20300
R,1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20300
D,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,20500
R,1,Single L0,0.6666667,20300
L,1,Single L0,0.6666667,23000
F,1,Single L0,0.6666667,20500
F',1,Single L0,0.6666667,20500
L',1,Single L0,0.6666667,22300
B',1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20300
B,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20300
F',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20800
R',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20300
R',1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20500
R,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20500
F,1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20500
R',1,Single L0,0.6666667,20400
U',1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20800
F',1,Single L0,0.6666667,20500
D,1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20300
D',1,Single L0,0.6666667,20300
L',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,23800
R',1,Single L0,0.6666667,20500
U',1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20500
U',1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,28300
B,1,Single L0,0.6666667,20300
R,1,Single L0,0.6666667,20300
F',1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,20700
R',1,Single L0,0.6666667,20500
U,1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20600
D',1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,23800
R',1,Single L0,0.6666667,21000
D',1,Single L0,0.6666667,22000
F',1,Single L0,0.6666667,21400
R,1,Single L0,0.6666667,21400
R,1,Single L0,0.6666667,21100
D',1,Single L0,0.6666667,24600
B,1,Single L0,0.6666667,23600
U',1,Single L0,0.6666667,23300
F,1,Single L0,0.6666667,23400
F,1,Single L0,0.6666667,23600
F,1,Single L0,0.6666667,23400
U',1,Single L0,0.6666667,22900
B,1,Single L0,0.6666667,20500
L,1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20300
L',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20300
B,1,Single L0,0.6666667,20500
U',1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,20500
L',1,Single L0,0.6666667,20500
R',1,Single L0,0.6666667,22200
D,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20500
D,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20500
L,1,Single L0,0.6666667,20500
L',1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,23500
L,1,Single L0,0.6666667,20500
L,1,Single L0,0.6666667,20400
D',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,20400
R',1,Single L0,0.6666667,20400
D,1,Single L0,0.6666667,22300
B,1,Single L0,0.6666667,20500
R',1,Single L0,0.6666667,20500
B,1,Single L0,0.6666667,20600
R,1,Single L0,0.6666667,20300
U,1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20500
F',1,Single L0,0.6666667,20500
B,1,Single L0,0.6666667,20500
L,1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20400
U',1,Single L0,0.6666667,20400
